input_name,output_name,activate,equalise
H8_SatTS_1km*Stacks*,H8_SatTS,1,0
H8_SatTS_1km*Stacks*,H8_SatTS2,0,0
H8_SatTS_1km*Stacks*,SatSC,1,0
H8_AsiaPacAus*IR1-default,H8_AsiaPacAus_IR1,1,0
H8_AsiaPacAus*IR2,H8_AsiaPacAus_IR2,1,0
H8_AsiaPacAus*DayVisNightIRBlu-default,H8_AsiaPacAus_DayVisNightIR,1,1
H8_ASEAN_1km*IR1-default*,H8_ASEAN_IR1,1,0
H8_ASEAN_1km*IR2*,H8_ASEAN_IR2,1,0
H8_ASEAN_1km*IR3*,H8_ASEAN_IR3,1,0
H8_ASEAN_1km*IR4*,H8_ASEAN_IR4,1,0
H8_ASEAN_1km*VIS*,H8_ASEAN_VIS,1,0
H8_ASEAN_1km*SmokeHaze,H8_ASEAN_SmokeHaze,1,1
H8_ASEAN_1km*DayVisNightIR,H8_ASEAN_DayVisNightIR,1,1
H8_ASEAN_1km*DayNightConvBlu-default,H8_ASEAN_DayNightConv,1,0
H8_ASEAN_1km*DayNightuPhy,H8_ASEAN_DayNightuPhy,1,0
H8_ASEAN_1km*NaturalColor,H8_ASEAN_NaturalColor,1,0
H8_ASEAN_1km*VolcanicAsh,H8_ASEAN_VolcanicAsh,1,0
H8_ASEAN_1km*BioBurning,H8_ASEAN_BioBurning,1,0
H8_Mekong_1km*SmokeHaze,H8_Mekong_SmokeHaze,1,1
H8_Mekong_1km*DayVisNightIR,H8_Mekong_DayVisNightIR,1,1
H8_Mekong_1km*BioBurning,H8_Mekong_BioBurning,1,0
H8_Mekong_1km*NaturalColor,H8_Mekong_NaturalColor,1,0
H8_Singapore_500m*SmokeHazeBlu-default,H8_Singapore_SmokeHaze,1,1
H8_Singapore_500m*DayVisNightIR,H8_Singapore_DayVisNightIR,1,1
H8_Singapore_500m*DayNightConv,H8_Singapore_DayNightConv,1,0
H8_Singapore_500m*DayNightuPhy,H8_Singapore_DayNightuPhy,1,0
H8_Singapore_500m*VIS,H8_Singapore_VIS,1,0
FY*ASEAN*SmokeHaze,FY_ASEAN_SmokeHaze,1,0
FY*ASEAN*PseudoTrueColour,FY_ASEAN_PseudoTrueColour,1,0
FY*ASEAN*NaturalColour,FY_ASEAN_NaturalColour,1,0
FY*ASEAN*FireTemperature,FY_ASEAN_FireTemperature,1,0
FY4A_FHS*12 hours*,FY4A_Hotspots,1,0
*grid*,FRED_Hotspots,1,0
*temp.png,SmokeMask,1,0
*tempRF.png,SmokeMask2,1,0
